"filename", "language", "TypeScript JSX", "TypeScript", "XML", "CSS", "JavaScript", "JSON with Comments", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/TasksContainer/TaskForm.tsx", "TypeScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/TasksContainer/Tasks.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 63
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/molecules/index.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 0, 0, 0, 3, 4, 43
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/organisms/CalendarClock.tsx", "TypeScript JSX", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/organisms/LifeBullets.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/organisms/TasksContainer.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/organisms/index.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/tailwind.config.js", "JavaScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 1, 9
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 3, 26
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/tsconfig.node.json", "JSON", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/client/vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/db.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 773, 0, 0, 0, 1, 774
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/package.json", "JSON", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/server.js", "JavaScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/src/tasks/controller.js", "JavaScript", 0, 0, 0, 0, 60, 0, 0, 0, 0, 7, 11, 78
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/src/tasks/queries.js", "JavaScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"/Users/elias/Desktop/Portfolio projects 2023 [web dev]/habits-app/client/server/src/tasks/routes.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"Total", "-", 799, 132, 2, 648, 137, 21, 4441, 1, 13, 65, 245, 6504
